Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.16,0.05,2.17,-0.07,-0.10,-0.02
10.20,-0.23,2.04,-0.06,-0.11,0.04
10.28,-0.15,2.08,-0.10,-0.11,0.00
9.99,-0.13,1.38,-0.11,-0.62,-0.03
9.58,-0.11,-0.01,0.01,-0.86,-0.03
8.98,-0.53,-1.68,-0.08,-0.99,-0.02
8.85,-0.04,-3.74,-0.13,-0.77,-0.07
8.74,-0.27,-4.68,0.04,-0.26,-0.05
8.48,-0.07,-4.88,-0.15,0.10,-0.01
9.26,0.13,-4.69,-0.21,0.41,0.00
10.33,0.30,-3.99,-0.18,0.41,-0.02
9.96,0.13,-3.00,-0.21,0.23,0.01
10.15,0.57,-2.42,-0.13,0.05,-0.03
9.48,0.26,-2.20,-0.05,0.07,-0.01
10.69,0.25,-2.34,-0.13,0.03,0.00
10.91,0.14,-2.82,-0.01,-0.11,0.02
10.27,0.08,-2.44,-0.07,0.05,0.12
10.16,-0.36,-2.69,-0.11,0.09,0.10
10.18,-0.02,-2.24,0.01,0.16,0.02
10.18,-0.28,-1.37,-0.14,0.40,-0.07
8.61,0.09,-0.50,-0.03,0.48,-0.01
7.71,-0.06,0.68,-0.02,0.44,0.07
10.26,-0.09,1.53,-0.01,0.23,-0.12
10.55,-0.02,1.94,-0.09,0.14,-0.12
10.18,-0.09,2.33,-0.17,0.04,0.00
10.26,-0.15,2.10,-0.11,-0.02,0.01
10.26,0.08,2.19,-0.07,-0.06,-0.01
10.24,-0.11,2.04,-0.05,-0.06,0.00
10.27,-0.08,2.04,-0.08,-0.03,-0.01
10.29,-0.19,1.91,-0.10,-0.01,0.01